trial,strategy,finalScore,trainScore,testScore,lookback,maxRangePct,minBodyToMedian,minVolToAvg,breakoutBuf,stopBuf,camMinPrice,camMaxPrice,camMinGapPct,camMinDayGainPct,camMinRvol,camPullbackBars,camMaxPullbackPct,camStopCents,camRoundBreakDist,emMinPrice,emMaxPrice,emMinGapPct,emMinPremarketVol,emMinRvol,emPoleBars,emMinPolePct,emFlagBars,emMaxFlagRetrace,emEntryBufCents,emStopBufCents,fillBars,entryBuf,tpR,trainFilled,trainAvgR,trainPF,trainDDPct,trainTotalPnl,trainWinRate,testFilled,testAvgR,testPF,testDDPct,testTotalPnl,testWinRate
161,Oliver,-7804.7302465818203572911949562,-8038.389234627554689021167172,-7454.2417645132188596962366324,8,0.012090227372520710,1.7167026408560112,2.5966535236205216,0.000162343500257630,0.0002842609422673760,,,,,,,,,,,,,,,,,,,,,17,0.0008903681558512005,0.5,311,-0.231477425624431054813926309,0.3645652940442574979770397256,0.2788089145527180597053749143,-6895.9803134969592089774428400,0.4951768488745980707395498392,309,-0.2186661539053566244108651316,0.3635391898357958468364101904,0.2564725974697329441090824922,-6389.0924458493921070890362267,0.4886731391585760517799352751
221,Oliver,-7933.868153773818021399208779,-8495.903618544975317456498805,-7090.8149566170820773132737395,11,0.0167829569307076640,1.33287680313590772,1.3401722395048352,0.0007733029233167430,0.0007939069749759080,,,,,,,,,,,,,,,,,,,,,7,0.0003224547921318810,0.5,510,-0.1569324487383099649073342164,0.5159527012421212693724362215,0.3204761227547995857907723765,-7712.9174901137932010356717675,0.5196078431372549019607843137,592,-0.1205153292616885645358893385,0.5961084894284055847535909713,0.2677337318636421680078048258,-6520.3741366783148097239436850,0.5287162162162162162162162162
93,Oliver,-7940.993612154643160526012672,-8186.668988910810657631136000,-7572.4805470203919148683276797,7,0.0153869886344238110,1.9248185450792406,2.2414290638367776,0.0007110019306237820,0.000273457345214420,,,,,,,,,,,,,,,,,,,,,20,0.000246614510075475,0.75,404,-0.1980684867214341841999231069,0.5317829694782822803155398157,0.296667558867324651359633965,-7258.7807389163697617773261000,0.4430693069306930693069306931,417,-0.1795533575655121119941334892,0.5413706973493803563559760789,0.2695871478344225110892561875,-6738.2444699890057347300093750,0.4508393285371702637889688249
156,Oliver,-7986.629374049536367462739587,-8608.635525784790419055514391,-7053.6201464466552900735773800,5,0.0071704472886260810,1.8753384867102552,1.7909450757740744,0.0006706518552595060,0.0005838409986271710,,,,,,,,,,,,,,,,,,,,,9,0.0001801692099218115,2.0,443,-0.2015135992602093108524805949,0.6034078834229598898724811074,0.3137765945847538128407140268,-7708.5438271695974332252401757,0.3453724604966139954853273138,476,-0.1687536679731710320538940046,0.6699220593108736369153577628,0.2681923412048697607052570652,-6361.4213377340565553527956416,0.3739495798319327731092436975
78,Oliver,-8052.076928288364795019193893,-9009.865410420478177910940692,-6615.3942050901947206815736948,7,0.0074825193255592660,2.6509398977509428,1.18109579276344544,0.0006157126536666010,0.000271781332917410,,,,,,,,,,,,,,,,,,,,,3,0.0005488343024853780,1.0,410,-0.234507800590255186163545311,0.5277602394803495106659377125,0.3253810191944087694830238244,-7999.666324416120270176700850,0.4048780487804878048780487805,494,-0.1413110210674297182726524413,0.6569096601932413917992543061,0.2409071098002429987340510336,-5989.3294135719003204793853500,0.455465587044534412955465587
219,Oliver,-8162.703457401083549633628714,-8660.196611150721225620017716,-7416.4637267766270356540452102,13,0.0176204968717044760,2.2672323211409310,1.2354547929649496,0.0001846238282437550,0.00001336175297077830,,,,,,,,,,,,,,,,,,,,,3,0.0005898308656596720,0.5,426,-0.1880358818664538910573564656,0.4359817566173462468661630438,0.3113862570149717825898035707,-7723.3849351871495723472821408,0.4953051643192488262910798122,490,-0.14640811793278515799289615,0.5026989170819434929466733274,0.2709770891317869604897506476,-6708.4096085078477032157638413,0.5183673469387755102040816327
123,Oliver,-8233.309383487841394139031758,-9905.908056211817836140873641,-5724.4113744018767311362689333,11,0.0115991090846243820,1.4060553113958132,1.6578464614962440,0.0002112642569519880,0.0008551701120357820,,,,,,,,,,,,,,,,,,,,,11,0.0014215675172962095,,398,-0.2071584937178560711094431799,0.5034501472194383407485705631,0.3716631555992127886234755196,-8769.746678019237848851808554,0.3417085427135678391959798995,447,-0.1154237130668241510849418514,0.7027917875025605125311092778,0.2358036106798178533270217442,-5133.7425230094427881084553575,0.3668903803131991051454138702
61,Oliver,-8280.257902415131975335919374,-9076.896664002163648231192201,-7085.2997600345844659930101330,8,0.0179090182580561440,1.5312607871979756,2.7056036591555936,0.0001540964837903610,0.000108981225690330,,,,,,,,,,,,,,,,,,,,,2,0.0011841567050126175,1.5,287,-0.2723955233567901375697411331,0.4433709239657410841658851104,0.3132738525344145074137509825,-7697.0234207068820037981173812,0.3240418118466898954703832753,308,-0.2091647748191996843651890551,0.5372256007690915552478995203,0.2454261617649518244761604422,-6071.5275003158345910857962686,0.3538961038961038961038961039
101,Oliver,-8439.883938045813569000745617,-9968.651694854938889936960493,-6146.7323028321255875964233032,7,0.0144070536463554210,2.5039322603046588,2.0625605632376672,0.0008615362764622720,0.000297759539586380,,,,,,,,,,,,,,,,,,,,,20,0.0011106567523026165,1.5,328,-0.2688903624092250480153521255,0.4611668909622766580716350916,0.3513372513633357739664355258,-8615.320016276332694707028246,0.3353658536585365853658536585,372,-0.1492156826570900643029745675,0.6467275676412138267205476518,0.2199135918068368728748706974,-5401.1856301024850189648121822,0.3736559139784946236559139785
82,Oliver,-8466.194027203419577887740254,-8357.717678510170709962701188,-8628.908550243292879775298852,12,0.0108638875991403560,2.5804083350023302,1.14262597972649432,0.0002764540180919940,0.0002425929453422280,,,,,,,,,,,,,,,,,,,,,9,0.0013061203252552635,0.75,325,-0.2168747038820481818367262823,0.4203240982135766721005546066,0.2914568548739925053116810894,-7215.4557590452825605397169919,0.4276923076923076923076923077,381,-0.1980584628161701747380803158,0.441784271555072133360299749,0.3058322121883115414284676626,-7600.6748401047214908884533263,0.4383202099737532808398950131
